"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID708032668185858049","Trump","Nur Leser","03/10/2016 15:51","Bogot��, Colombia","Pacific Time (US & Canada)","17","RT @LanceSilver1: #TRUMP #TCOT #CCOT #GOPDEBATE

#Terrorist Groups Intensify Targeting of #Children for #Jihad https://t.co/Y4X49DLVvH http��"
"ID708037879495204864","Trump","VOTE 4 TRUMP 2016!!","03/10/2016 16:12","Texas, USA","null","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h��"
"ID708110036971753473","Rubio","Jay","03/10/2016 20:59","Detroit","Eastern Time (US & Canada)","1","RT @smteague: Rubio's hand for the win! #GOPDebate https://t.co/TJIIZ8xWoU"
"ID708104373214126080","Trump","Eric_","03/10/2016 20:36","Sacramento, CA","null","63","RT @pattonoswalt: Six minutes. Six minutes. Six minutes, Douch-ey Trump, you're on. #GOPDebate"
"ID708102496200228865","Trump","Nicole Orosco","03/10/2016 20:29","null","null","4","RT @_AnimalAdvocate: #GOPDebate
Never has @FunnyOrDie been more prescient!

Dum(p) #Trump, The #Movie?
?https://t.co/fta9JhuluI

? #Truth h��"
"ID707959148953010177","Rubio","Patricia L.Danielson","03/10/2016 10:59","Columbia Heights Minnesota","null","3","RT @UAforRubio: For my friends in Florida, here are 5 places to watch Marco Rubio in tonight's #GOPDebate: https://t.co/AMXc2apBGO"
"ID708109642912501760","Rubio","Chris Berg","03/10/2016 20:57","Oregon","Pacific Time (US & Canada)","0","Tonight on live TV, Marco Rubio slits his own throat in sacrifice to the American Century. #GOPDebate"
"ID708109083870507008","Kasich","Dylan Shearer","03/10/2016 20:55","Chicago, Illinois","Mountain Time (US & Canada)","0","Kasich uses more hair gel than most pre-teen skaterbois. #GOPDebate"
"ID708107653768044544","Rubio","Xavier J. Mejido","03/10/2016 20:49","Miami","Eastern Time (US & Canada)","1","How @MarcoRubio became Florida��s not-so-favorite son https://t.co/OOSSAFQJeA #GOPdebate https://t.co/PI4o3ZRjt5 https://t.co/STeTKX5SGF"
"ID708106621654847488","Trump","Dean McGowan","03/10/2016 20:45","Woodlawn","Eastern Time (US & Canada)","6","RT @cjwerleman: I half-expect Trump to walk onto the stage wearing skin tight pants and having taken a Viagra. #GOPDebate"
"ID708097471835086849","Trump","susan fujioka","03/10/2016 20:09","null","null","192","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID708108491194368000","Trump","RolandoDownie .��.","03/10/2016 20:53","?MOZART, el m��s grande!","Tijuana","53","RT @NatureGuy101: Please RT if you agree Donald Trump would be bigger degradation to American than George W Bush #GOPDebate #UniteBlue http��"
"ID708109327861620736","Trump","Lisa","03/10/2016 20:56","Georgia, USA","null","48","RT @LindaSuhler: Surely we won't have to endure a PP presentation against Trump again tonight.
That was an MK trick...
#GOPDebate
#Trump2016"
"ID708109415220690945","Kasich","Stabbie Hoffman","03/10/2016 20:56","null","Atlantic Time (Canada)","0","#GOPDebate fact: John Kasich's posture is a result of traveling in his suitcase to save his campaign some money #balancedbudget"
"ID708104120998039552","Rubio","RogueBeaver","03/10/2016 20:35","QC","Eastern Time (US & Canada)","1","RT @RadioFreeTom: Gloria Borger giving Rubio advice. 

Brb drinking ground glass

#GOPDebate"
